LineID,OrderID,SKU,Quantity,UnitPrice,Discount,LineTotal
159,5044,SKU1005,1,3.85,0.05,3.66
160,5044,SKU1024,1,7.3,0.15,6.21
161,5044,SKU1007,4,6.2,0.0,24.8
162,5044,SKU1003,2,5.95,0.15,10.12
163,5044,SKU1018,3,4.3,0.0,12.9
164,5045,SKU1015,2,5.6,0.1,10.08
165,5046,SKU1009,12,3.4,0.0,40.8
166,5046,SKU1001,3,3.2,0.1,8.64
167,5047,SKU1014,1,3.3,0.05,3.13
168,5047,SKU1024,4,7.3,0.0,29.2
169,5047,SKU1025,12,9.8,0.15,99.96
170,5047,SKU1023,4,8.4,0.05,31.92
171,5047,SKU1002,1,2.9,0.0,2.9
172,5048,SKU1006,12,5.4,0.0,64.8
173,5048,SKU1022,1,9.2,0.0,9.2
174,5049,SKU1022,12,9.2,0.0,110.4
175,5049,SKU1022,2,9.2,0.0,18.4
176,5049,SKU1012,3,2.35,0.0,7.05
177,5049,SKU1014,1,3.3,0.15,2.8
178,5049,SKU1022,1,9.2,0.0,9.2
179,5049,SKU1001,3,3.2,0.0,9.6
180,5050,SKU1001,1,3.2,0.0,3.2
181,5051,SKU1007,2,6.2,0.1,11.16
182,5051,SKU1008,1,2.8,0.05,2.66
183,5051,SKU1016,2,11.9,0.0,23.8
184,5051,SKU1010,4,8.9,0.0,35.6
185,5052,SKU1004,2,3.5,0.0,7.0
186,5052,SKU1013,2,2.1,0.1,3.78
187,5052,SKU1009,4,3.4,0.0,13.6
188,5052,SKU1012,1,2.35,0.0,2.35
189,5052,SKU1019,2,6.1,0.05,11.59
190,5052,SKU1012,1,2.35,0.1,2.12
191,5053,SKU1016,1,11.9,0.05,11.3
192,5053,SKU1023,3,8.4,0.1,22.68
193,5053,SKU1010,2,8.9,0.0,17.8
194,5053,SKU1012,1,2.35,0.1,2.12
195,5053,SKU1004,1,3.5,0.15,2.98
196,5053,SKU1023,1,8.4,0.0,8.4
197,5054,SKU1009,1,3.4,0.0,3.4
198,5054,SKU1002,1,2.9,0.0,2.9
199,5054,SKU1018,6,4.3,0.15,21.93
200,5054,SKU1012,3,2.35,0.0,7.05
201,5055,SKU1001,1,3.2,0.15,2.72
202,5055,SKU1013,1,2.1,0.0,2.1
203,5055,SKU1010,3,8.9,0.0,26.7
204,5055,SKU1002,3,2.9,0.05,8.26
205,5055,SKU1016,3,11.9,0.15,30.35
206,5055,SKU1011,2,6.95,0.1,12.51
207,5056,SKU1012,1,2.35,0.0,2.35
208,5056,SKU1019,1,6.1,0.0,6.1
209,5056,SKU1016,12,11.9,0.1,128.52
210,5056,SKU1004,2,3.5,0.0,7.0
211,5057,SKU1025,1,9.8,0.0,9.8
212,5057,SKU1014,4,3.3,0.0,13.2
213,5057,SKU1012,1,2.35,0.15,2.0
214,5057,SKU1007,2,6.2,0.0,12.4
215,5057,SKU1023,3,8.4,0.05,23.94
216,5057,SKU1012,1,2.35,0.1,2.12
217,5058,SKU1009,3,3.4,0.15,8.67
218,5058,SKU1005,1,3.85,0.0,3.85
219,5058,SKU1001,3,3.2,0.15,8.16
220,5058,SKU1006,2,5.4,0.0,10.8
221,5058,SKU1014,1,3.3,0.0,3.3
222,5058,SKU1017,4,11.5,0.1,41.4
223,5059,SKU1024,1,7.3,0.0,7.3
224,5059,SKU1012,3,2.35,0.0,7.05
225,5059,SKU1002,4,2.9,0.0,11.6
226,5059,SKU1016,1,11.9,0.0,11.9
227,5059,SKU1024,2,7.3,0.0,14.6
228,5059,SKU1013,1,2.1,0.0,2.1
229,5060,SKU1020,1,5.5,0.0,5.5
230,5061,SKU1020,2,5.5,0.0,11.0
231,5061,SKU1018,2,4.3,0.0,8.6
232,5061,SKU1018,2,4.3,0.05,8.17
233,5061,SKU1004,2,3.5,0.15,5.95
234,5061,SKU1009,1,3.4,0.15,2.89
235,5062,SKU1017,1,11.5,0.15,9.78
236,5062,SKU1017,1,11.5,0.0,11.5
237,5062,SKU1010,1,8.9,0.0,8.9
238,5063,SKU1010,4,8.9,0.05,33.82
239,5063,SKU1015,2,5.6,0.1,10.08
240,5063,SKU1008,1,2.8,0.0,2.8
241,5063,SKU1012,1,2.35,0.15,2.0
242,5063,SKU1002,2,2.9,0.15,4.93
243,5064,SKU1005,4,3.85,0.0,15.4
244,5064,SKU1001,1,3.2,0.0,3.2
245,5064,SKU1020,4,5.5,0.1,19.8
246,5064,SKU1001,1,3.2,0.1,2.88
247,5065,SKU1016,6,11.9,0.1,64.26
248,5065,SKU1017,2,11.5,0.0,23.0
249,5065,SKU1023,1,8.4,0.15,7.14
250,5065,SKU1004,1,3.5,0.0,3.5
251,5065,SKU1004,1,3.5,0.1,3.15
252,5066,SKU1017,1,11.5,0.05,10.92
253,5066,SKU1018,1,4.3,0.0,4.3
254,5066,SKU1007,1,6.2,0.0,6.2
255,5066,SKU1022,1,9.2,0.0,9.2
256,5066,SKU1014,1,3.3,0.0,3.3
257,5066,SKU1014,4,3.3,0.0,13.2
258,5067,SKU1015,2,5.6,0.0,11.2
259,5067,SKU1003,1,5.95,0.1,5.36
260,5067,SKU1007,12,6.2,0.0,74.4
261,5067,SKU1007,1,6.2,0.0,6.2
262,5068,SKU1003,1,5.95,0.0,5.95
263,5068,SKU1011,1,6.95,0.15,5.91
264,5069,SKU1014,4,3.3,0.0,13.2
265,5069,SKU1005,2,3.85,0.15,6.54
266,5069,SKU1022,2,9.2,0.0,18.4
267,5069,SKU1021,1,4.8,0.0,4.8
268,5069,SKU1010,2,8.9,0.15,15.13
269,5069,SKU1011,3,6.95,0.0,20.85
270,5070,SKU1012,3,2.35,0.0,7.05
271,5070,SKU1007,1,6.2,0.05,5.89
272,5070,SKU1007,1,6.2,0.0,6.2
273,5070,SKU1024,1,7.3,0.05,6.93
274,5071,SKU1010,1,8.9,0.0,8.9
275,5072,SKU1017,1,11.5,0.0,11.5
276,5072,SKU1021,1,4.8,0.0,4.8
277,5072,SKU1012,3,2.35,0.0,7.05
278,5072,SKU1002,6,2.9,0.0,17.4
279,5072,SKU1021,1,4.8,0.1,4.32
280,5072,SKU1016,1,11.9,0.1,10.71
281,5073,SKU1015,2,5.6,0.0,11.2
282,5073,SKU1001,3,3.2,0.0,9.6
283,5073,SKU1004,1,3.5,0.15,2.98
284,5073,SKU1020,2,5.5,0.15,9.35
285,5074,SKU1017,2,11.5,0.0,23.0
286,5074,SKU1002,1,2.9,0.0,2.9
287,5074,SKU1018,4,4.3,0.0,17.2
288,5075,SKU1002,2,2.9,0.0,5.8
289,5076,SKU1003,4,5.95,0.0,23.8
290,5076,SKU1024,1,7.3,0.05,6.93
291,5076,SKU1017,2,11.5,0.0,23.0
292,5076,SKU1016,2,11.9,0.0,23.8
293,5076,SKU1002,3,2.9,0.15,7.39
294,5077,SKU1017,1,11.5,0.05,10.92
295,5077,SKU1013,1,2.1,0.05,1.99
296,5077,SKU1017,2,11.5,0.0,23.0
297,5077,SKU1016,1,11.9,0.1,10.71
298,5077,SKU1015,1,5.6,0.05,5.32
299,5077,SKU1005,6,3.85,0.1,20.79
300,5078,SKU1002,3,2.9,0.0,8.7
301,5078,SKU1018,2,4.3,0.0,8.6
302,5078,SKU1013,6,2.1,0.0,12.6
303,5078,SKU1009,4,3.4,0.0,13.6
304,5078,SKU1014,2,3.3,0.0,6.6
305,5078,SKU1019,1,6.1,0.0,6.1
306,5079,SKU1001,2,3.2,0.0,6.4
307,5079,SKU1002,1,2.9,0.15,2.46
308,5079,SKU1025,2,9.8,0.0,19.6
309,5079,SKU1025,2,9.8,0.0,19.6
310,5079,SKU1021,1,4.8,0.0,4.8
311,5079,SKU1017,6,11.5,0.0,69.0
312,5080,SKU1025,4,9.8,0.05,37.24
313,5080,SKU1018,1,4.3,0.1,3.87
314,5080,SKU1003,12,5.95,0.0,71.4
315,5080,SKU1003,4,5.95,0.05,22.61
316,5080,SKU1013,3,2.1,0.05,5.99
317,5080,SKU1019,6,6.1,0.0,36.6
318,5081,SKU1014,1,3.3,0.0,3.3
319,5081,SKU1005,1,3.85,0.0,3.85
320,5081,SKU1015,1,5.6,0.0,5.6
321,5081,SKU1007,3,6.2,0.0,18.6
322,5082,SKU1023,4,8.4,0.05,31.92
323,5082,SKU1019,3,6.1,0.0,18.3
324,5082,SKU1023,6,8.4,0.15,42.84
325,5082,SKU1011,3,6.95,0.1,18.77
326,5082,SKU1004,1,3.5,0.15,2.98
327,5083,SKU1018,3,4.3,0.1,11.61
328,5083,SKU1023,1,8.4,0.0,8.4
329,5083,SKU1023,3,8.4,0.1,22.68
330,5083,SKU1017,2,11.5,0.0,23.0
331,5084,SKU1010,1,8.9,0.15,7.57
332,5084,SKU1001,1,3.2,0.0,3.2
333,5084,SKU1007,1,6.2,0.0,6.2
334,5084,SKU1015,6,5.6,0.15,28.56
335,5084,SKU1021,2,4.8,0.15,8.16
336,5084,SKU1003,1,5.95,0.0,5.95
337,5085,SKU1019,6,6.1,0.0,36.6
338,5085,SKU1024,1,7.3,0.15,6.21
339,5085,SKU1016,1,11.9,0.0,11.9
340,5085,SKU1005,2,3.85,0.0,7.7
341,5086,SKU1009,12,3.4,0.1,36.72
342,5086,SKU1007,4,6.2,0.15,21.08
343,5086,SKU1001,3,3.2,0.0,9.6
344,5086,SKU1021,2,4.8,0.1,8.64
345,5087,SKU1012,1,2.35,0.1,2.12
346,5087,SKU1015,3,5.6,0.15,14.28
347,5087,SKU1006,2,5.4,0.15,9.18
348,5088,SKU1006,4,5.4,0.05,20.52
349,5088,SKU1009,2,3.4,0.0,6.8
350,5088,SKU1007,1,6.2,0.1,5.58
351,5088,SKU1021,1,4.8,0.0,4.8
352,5088,SKU1018,2,4.3,0.1,7.74
353,5089,SKU1006,2,5.4,0.0,10.8
354,5089,SKU1005,1,3.85,0.1,3.47
355,5089,SKU1005,3,3.85,0.1,10.4
356,5089,SKU1022,2,9.2,0.1,16.56
357,5090,SKU1003,1,5.95,0.0,5.95
358,5090,SKU1003,1,5.95,0.0,5.95
359,5090,SKU1020,1,5.5,0.0,5.5
360,5090,SKU1013,1,2.1,0.1,1.89
361,5091,SKU1011,2,6.95,0.0,13.9
362,5092,SKU1017,1,11.5,0.1,10.35
363,5093,SKU1016,2,11.9,0.0,23.8
364,5093,SKU1021,1,4.8,0.1,4.32
365,5093,SKU1009,6,3.4,0.15,17.34
366,5093,SKU1012,1,2.35,0.15,2.0
367,5093,SKU1022,4,9.2,0.0,36.8
368,5094,SKU1015,3,5.6,0.0,16.8
369,5094,SKU1019,2,6.1,0.15,10.37
370,5094,SKU1019,1,6.1,0.0,6.1
371,5095,SKU1022,2,9.2,0.0,18.4
372,5095,SKU1003,1,5.95,0.15,5.06
373,5095,SKU1003,1,5.95,0.0,5.95
374,5095,SKU1008,1,2.8,0.0,2.8
375,5095,SKU1010,1,8.9,0.0,8.9
376,5095,SKU1008,1,2.8,0.0,2.8
377,5096,SKU1016,1,11.9,0.0,11.9
378,5096,SKU1020,3,5.5,0.0,16.5
379,5096,SKU1008,1,2.8,0.15,2.38
380,5096,SKU1013,1,2.1,0.0,2.1
381,5096,SKU1014,2,3.3,0.15,5.61
382,5097,SKU1006,4,5.4,0.1,19.44
383,5097,SKU1013,12,2.1,0.15,21.42
384,5097,SKU1024,1,7.3,0.0,7.3
385,5098,SKU1011,3,6.95,0.1,18.77
386,5098,SKU1007,2,6.2,0.05,11.78
387,5098,SKU1020,1,5.5,0.0,5.5
388,5099,SKU1020,6,5.5,0.15,28.05
389,5101,SKU1019,2,6.1,0.15,10.37
390,5101,SKU1011,1,6.95,0.1,6.25
391,5101,SKU1001,2,3.2,0.05,6.08
392,5101,SKU1003,3,5.95,0.0,17.85
393,5101,SKU1011,2,6.95,0.1,12.51
394,5101,SKU1016,2,11.9,0.15,20.23
395,5102,SKU1016,1,11.9,0.0,11.9
396,5102,SKU1009,1,3.4,0.0,3.4
397,5103,SKU1005,3,3.85,0.1,10.4
398,5103,SKU1017,2,11.5,0.0,23.0
399,5103,SKU1024,2,7.3,0.05,13.87
400,5103,SKU1023,2,8.4,0.15,14.28
401,5104,SKU1025,2,9.8,0.0,19.6
402,5104,SKU1004,3,3.5,0.0,10.5
403,5104,SKU1023,1,8.4,0.0,8.4
404,5104,SKU1003,2,5.95,0.0,11.9
405,5105,SKU1010,2,8.9,0.0,17.8
406,5105,SKU1007,1,6.2,0.0,6.2
407,5106,SKU1023,6,8.4,0.0,50.4
408,5106,SKU1002,1,2.9,0.15,2.46
409,5106,SKU1002,3,2.9,0.1,7.83
410,5107,SKU1013,1,2.1,0.1,1.89
411,5107,SKU1012,2,2.35,0.05,4.46
412,5107,SKU1024,2,7.3,0.0,14.6
413,5107,SKU1019,12,6.1,0.0,73.2
414,5107,SKU1021,4,4.8,0.15,16.32
415,5108,SKU1017,1,11.5,0.0,11.5
416,5108,SKU1016,3,11.9,0.0,35.7
417,5108,SKU1021,3,4.8,0.0,14.4
418,5108,SKU1007,3,6.2,0.0,18.6
419,5108,SKU1011,1,6.95,0.0,6.95
420,5108,SKU1002,3,2.9,0.15,7.39
421,5109,SKU1017,4,11.5,0.1,41.4
422,5110,SKU1022,1,9.2,0.05,8.74
423,5110,SKU1012,1,2.35,0.0,2.35
424,5110,SKU1005,3,3.85,0.0,11.55
425,5110,SKU1007,1,6.2,0.0,6.2
426,5111,SKU1016,6,11.9,0.05,67.83
427,5111,SKU1008,1,2.8,0.05,2.66
428,5111,SKU1010,1,8.9,0.0,8.9
429,5111,SKU1020,1,5.5,0.0,5.5
430,5111,SKU1007,6,6.2,0.05,35.34
431,5111,SKU1005,1,3.85,0.1,3.47
432,5112,SKU1018,2,4.3,0.05,8.17
433,5112,SKU1009,1,3.4,0.05,3.23
434,5112,SKU1015,1,5.6,0.15,4.76
435,5112,SKU1011,2,6.95,0.0,13.9
436,5112,SKU1015,1,5.6,0.0,5.6
437,5112,SKU1025,2,9.8,0.1,17.64
438,5113,SKU1001,1,3.2,0.05,3.04
439,5113,SKU1025,2,9.8,0.0,19.6
440,5113,SKU1007,4,6.2,0.05,23.56
441,5113,SKU1018,2,4.3,0.1,7.74
442,5114,SKU1019,1,6.1,0.1,5.49
443,5114,SKU1006,1,5.4,0.0,5.4
444,5114,SKU1016,3,11.9,0.0,35.7
445,5114,SKU1010,1,8.9,0.0,8.9
446,5114,SKU1012,6,2.35,0.15,11.99
447,5115,SKU1003,1,5.95,0.05,5.65
448,5115,SKU1023,1,8.4,0.0,8.4
449,5115,SKU1016,1,11.9,0.15,10.12
450,5116,SKU1021,12,4.8,0.0,57.6
451,5116,SKU1006,1,5.4,0.0,5.4
452,5116,SKU1018,1,4.3,0.0,4.3
453,5116,SKU1003,1,5.95,0.1,5.36
454,5116,SKU1001,1,3.2,0.1,2.88
455,5116,SKU1006,1,5.4,0.1,4.86
456,5118,SKU1001,1,3.2,0.0,3.2
457,5118,SKU1011,6,6.95,0.1,37.53
458,5118,SKU1011,2,6.95,0.15,11.81
459,5118,SKU1002,3,2.9,0.0,8.7
460,5118,SKU1003,1,5.95,0.0,5.95
461,5119,SKU1015,6,5.6,0.1,30.24
462,5119,SKU1002,4,2.9,0.05,11.02
463,5120,SKU1018,6,4.3,0.0,25.8
464,5120,SKU1015,3,5.6,0.1,15.12
465,5121,SKU1013,3,2.1,0.1,5.67
466,5121,SKU1017,4,11.5,0.0,46.0
467,5121,SKU1021,1,4.8,0.0,4.8
468,5121,SKU1006,4,5.4,0.0,21.6
469,5122,SKU1022,2,9.2,0.05,17.48
470,5122,SKU1007,2,6.2,0.15,10.54
471,5122,SKU1017,1,11.5,0.0,11.5
472,5122,SKU1012,3,2.35,0.1,6.35
473,5122,SKU1022,3,9.2,0.05,26.22
474,5122,SKU1016,1,11.9,0.1,10.71
475,5123,SKU1015,1,5.6,0.0,5.6
476,5123,SKU1019,2,6.1,0.0,12.2
477,5123,SKU1009,1,3.4,0.0,3.4
478,5123,SKU1022,3,9.2,0.1,24.84
479,5123,SKU1019,2,6.1,0.15,10.37
480,5123,SKU1005,1,3.85,0.05,3.66
481,5124,SKU1008,2,2.8,0.15,4.76
482,5125,SKU1009,2,3.4,0.0,6.8
483,5125,SKU1017,6,11.5,0.0,69.0
484,5125,SKU1018,2,4.3,0.0,8.6
485,5125,SKU1017,4,11.5,0.15,39.1
486,5125,SKU1004,3,3.5,0.0,10.5
487,5126,SKU1011,1,6.95,0.0,6.95
488,5126,SKU1015,2,5.6,0.0,11.2
489,5126,SKU1024,2,7.3,0.15,12.41
490,5126,SKU1017,1,11.5,0.0,11.5
491,5126,SKU1009,2,3.4,0.05,6.46
492,5126,SKU1024,1,7.3,0.0,7.3
493,5127,SKU1014,1,3.3,0.0,3.3
494,5127,SKU1005,3,3.85,0.0,11.55
495,5127,SKU1023,1,8.4,0.0,8.4
496,5127,SKU1021,4,4.8,0.0,19.2
497,5127,SKU1016,1,11.9,0.05,11.3
498,5127,SKU1020,1,5.5,0.05,5.22
499,5128,SKU1021,2,4.8,0.0,9.6
500,5128,SKU1013,1,2.1,0.1,1.89
501,5128,SKU1025,2,9.8,0.1,17.64
502,5129,SKU1024,3,7.3,0.0,21.9
503,5129,SKU1021,1,4.8,0.1,4.32
504,5129,SKU1003,2,5.95,0.0,11.9
505,5130,SKU1014,2,3.3,0.1,5.94
506,5130,SKU1017,2,11.5,0.05,21.85
507,5130,SKU1003,6,5.95,0.15,30.35
508,5130,SKU1018,1,4.3,0.1,3.87
509,5130,SKU1008,4,2.8,0.0,11.2
510,5130,SKU1003,2,5.95,0.05,11.3
511,5131,SKU1013,1,2.1,0.0,2.1
512,5131,SKU1012,12,2.35,0.1,25.38
513,5131,SKU1010,1,8.9,0.05,8.46
514,5131,SKU1014,6,3.3,0.05,18.81
515,5131,SKU1019,2,6.1,0.1,10.98
516,5132,SKU1005,1,3.85,0.1,3.47
517,5132,SKU1025,1,9.8,0.0,9.8
518,5133,SKU1004,1,3.5,0.0,3.5
519,5134,SKU1009,2,3.4,0.0,6.8
520,5134,SKU1015,1,5.6,0.1,5.04
521,5134,SKU1013,2,2.1,0.0,4.2
522,5134,SKU1011,2,6.95,0.0,13.9
523,5134,SKU1009,2,3.4,0.1,6.12
524,5134,SKU1016,4,11.9,0.0,47.6
525,5135,SKU1014,1,3.3,0.1,2.97
526,5135,SKU1018,3,4.3,0.15,10.96
527,5136,SKU1014,12,3.3,0.0,39.6
528,5137,SKU1006,2,5.4,0.0,10.8
529,5137,SKU1005,2,3.85,0.1,6.93
530,5137,SKU1013,3,2.1,0.0,6.3
531,5138,SKU1001,4,3.2,0.05,12.16
532,5138,SKU1004,1,3.5,0.0,3.5
533,5140,SKU1004,3,3.5,0.0,10.5
534,5140,SKU1019,1,6.1,0.0,6.1
535,5140,SKU1002,2,2.9,0.15,4.93
536,5140,SKU1020,4,5.5,0.15,18.7
537,5140,SKU1003,3,5.95,0.15,15.17
538,5140,SKU1022,2,9.2,0.1,16.56
539,5141,SKU1004,3,3.5,0.15,8.92
540,5141,SKU1021,1,4.8,0.1,4.32
541,5141,SKU1006,1,5.4,0.1,4.86
542,5141,SKU1011,3,6.95,0.15,17.72
543,5141,SKU1018,6,4.3,0.1,23.22
544,5143,SKU1018,4,4.3,0.0,17.2
545,5143,SKU1022,2,9.2,0.05,17.48
546,5143,SKU1020,2,5.5,0.0,11.0
547,5144,SKU1012,2,2.35,0.0,4.7
548,5144,SKU1012,12,2.35,0.0,28.2
549,5144,SKU1024,3,7.3,0.15,18.61
550,5145,SKU1023,1,8.4,0.0,8.4
551,5145,SKU1021,1,4.8,0.1,4.32
552,5146,SKU1017,1,11.5,0.05,10.92
553,5146,SKU1025,2,9.8,0.0,19.6
554,5146,SKU1021,6,4.8,0.0,28.8
555,5146,SKU1021,1,4.8,0.1,4.32
556,5146,SKU1009,3,3.4,0.1,9.18
557,5147,SKU1011,1,6.95,0.0,6.95
